Portfolio,Date,Week_End,Month,Operator,Brand,marketing_source,NRCs,NDCs,QNDCs,Deposits,Net Revenue,Revshare,CPA,Total Commission
PPC,16/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,17/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,18/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,19/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,20/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,21/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,22/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,23/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,24/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,25/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,26/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,27/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,28/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,29/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,30/01/2023,05/02/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,31/01/2023,05/02/2023 00:00,2023-01,Stake.com,Stake.com,PPC-CAS-NOR-GAD,0,0,0,0,0,0,0,0
PPC,10/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,1,0,0,0,0,0,0,0
PPC,11/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,12/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,13/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,14/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,15/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,16/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,17/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,18/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,19/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,20/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,21/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,22/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,23/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,24/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,25/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,26/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,27/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,28/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,29/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,30/01/2023,05/02/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,31/01/2023,05/02/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-BAD,0,0,0,0,0,0,0,0
PPC,01/01/2023,01/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,02/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,03/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,04/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,05/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,06/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,07/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,08/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,09/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,10/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,11/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,12/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,13/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,14/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,15/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,16/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,17/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,18/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,19/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,20/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,21/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,22/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,23/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,24/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,25/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,26/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,27/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,28/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,29/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,30/01/2023,05/02/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
PPC,31/01/2023,05/02/2023 00:00,2023-01,Stake.com,Stake.com,PPC-SPO-CHE-GAD,0,0,0,0,0,0,0,0
SEO,01/01/2023,01/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,0,9.82,4.91,0,4.91
SEO,02/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,1093.31,1100.93,550.465,0,550.465
SEO,03/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,725.04,725.93,362.965,0,362.965
SEO,04/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,1,0,0,0,0.01,0.005,0,0.005
SEO,05/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,0,6.63,3.315,0,3.315
SEO,06/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,0,26.97,13.485,0,13.485
SEO,07/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,1104.78,1105.35,552.675,0,552.675
SEO,08/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,1,1,0,509.06,372.36,186.18,0,186.18
SEO,09/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,0,-133.92,-66.96,0,-66.96
SEO,10/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,0,75.25,37.625,0,37.625
SEO,11/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,22.62,35.16,17.58,0,17.58
SEO,12/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,1,1,0,955.79,1168.89,584.445,0,584.445
SEO,13/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,3,1,0,761.28,-13947.63,-6973.815,0,-6973.815
SEO,14/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,2,0,0,0,2016.78,1008.39,0,1008.39
SEO,15/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,579.97,-93.95,-46.975,0,-46.975
SEO,16/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,2,1,0,134.99,18.82,9.41,0,9.41
SEO,17/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,1,1,0,365.92,395.61,197.805,0,197.805
SEO,18/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,1,0,1240.34,528.42,264.21,0,264.21
SEO,19/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,1,0,0,136.01,1447.89,723.945,0,723.945
SEO,20/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,1,0,0,844.91,-9512.01,-4756.005,0,-4756.005
SEO,21/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,22.4,10385.15,5192.575,0,5192.575
SEO,22/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,738.07,-853.41,-426.705,0,-426.705
SEO,23/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,3720.84,4814.08,2407.04,0,2407.04
SEO,24/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,1,0,0,1109.75,547.62,273.81,0,273.81
SEO,25/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,2,1,0,274.63,-193.25,-96.625,0,-96.625
SEO,26/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,2599.66,-42.71,-21.355,0,-21.355
SEO,27/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,29.71,3511.53,1755.765,0,1755.765
SEO,28/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,494.54,496.04,248.02,0,248.02
SEO,29/01/2023,29/01/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,1485.71,1498.45,749.225,0,749.225
SEO,30/01/2023,05/02/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,0,0,0,131.38,138.95,69.475,0,69.475
SEO,31/01/2023,05/02/2023 00:00,2023-01,Stake.com,Stake.com,AMC-IGA-GLO-CRYPTO,2,0,0,1856.85,1841.27,920.635,0,920.635
SEO,01/01/2023,01/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,02/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,03/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,04/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,05/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,06/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,07/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,08/01/2023,08/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,09/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,10/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,11/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,12/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,13/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,14/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,15/01/2023,15/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,16/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,17/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,18/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,19/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
SEO,20/01/2023,22/01/2023 00:00,2023-01,Stake.com,Stake.com,BNE-CAS-GLO,0,0,0,0,0,0,0,0
